"Cod";"Municipio";"Total";"Algodao";"Arroz";"Feijao";"Mandioca";"Milho";"Soja";"Trigo"
"1100015";"Alta Floresta D'Oeste (RO)";"..";"-";"705";"2044";"11320";"15667";"1350";"-"
"1100023";"Ariquemes (RO)";"..";"-";"2680";"9";"8100";"3330";"10959";"-"
"1100031";"Cabixi (RO)";"..";"-";"7760";"-";"575";"81690";"70320";"-"
"1100049";"Cacoal (RO)";"..";"-";"90";"788";"13400";"3616";"1710";"-"
"1100056";"Cerejeiras (RO)";"..";"-";"3200";"40";"2720";"105760";"98000";"-"
"1100064";"Colorado do Oeste (RO)";"..";"-";"252";"4";"3255";"11400";"10888";"-"
"1100072";"Corumbiara (RO)";"..";"-";"7200";"30";"1800";"144360";"125500";"-"
"1100080";"Costa Marques (RO)";"..";"-";"-";"4";"2395";"20";"-";"-"
"1100098";"Espigão D'Oeste (RO)";"..";"-";"84";"126";"5310";"5482";"3240";"-"
"1100106";"Guajará-Mirim (RO)";"..";"-";"14";"7";"10300";"103";"-";"-"
"1100114";"Jaru (RO)";"..";"-";"12";"336";"44500";"578";"-";"-"
"1100122";"Ji-Paraná (RO)";"..";"-";"-";"-";"7812";"1080";"-";"-"
"1100130";"Machadinho D'Oeste (RO)";"..";"-";"4382";"36";"106575";"2088";"17788";"-"
"1100148";"Nova Brasilândia D'Oeste (RO)";"..";"-";"6";"-";"5400";"552";"-";"-"
"1100155";"Ouro Preto do Oeste (RO)";"..";"-";"6";"-";"2060";"200";"-";"-"
"1100189";"Pimenta Bueno (RO)";"..";"-";"90";"50";"7040";"853";"3680";"-"
"1100205";"Porto Velho (RO)";"..";"-";"24245";"288";"169434";"57963";"30880";"-"
"1100254";"Presidente Médici (RO)";"..";"-";"9";"30";"9620";"630";"-";"-"
"1100262";"Rio Crespo (RO)";"..";"-";"5625";"7";"7750";"8575";"39533";"-"
"1100288";"Rolim de Moura (RO)";"..";"-";"450";"30";"9000";"2289";"14894";"-"
"1100296";"Santa Luzia D'Oeste (RO)";"..";"-";"60";"62";"1496";"960";"1920";"-"
"1100304";"Vilhena (RO)";"..";"-";"300";"330";"4045";"275460";"188100";"-"
"1100320";"São Miguel do Guaporé (RO)";"..";"-";"5850";"-";"7000";"15132";"27000";"-"
"1100338";"Nova Mamoré (RO)";"..";"-";"2590";"24";"12800";"1665";"690";"-"
"1100346";"Alvorada D'Oeste (RO)";"..";"-";"210";"150";"4540";"360";"3036";"-"
"1100379";"Alto Alegre dos Parecis (RO)";"..";"-";"480";"10733";"5720";"20520";"10135";"-"
"1100403";"Alto Paraíso (RO)";"..";"-";"5006";"12";"1310";"1484";"21882";"-"
"1100452";"Buritis (RO)";"..";"-";"21";"251";"11000";"433";"-";"-"
"1100502";"Novo Horizonte do Oeste (RO)";"..";"-";"99";"144";"2540";"559";"-";"-"
"1100601";"Cacaulândia (RO)";"..";"-";"-";"2";"16425";"54";"-";"-"
"1100700";"Campo Novo de Rondônia (RO)";"..";"-";"338";"7";"12000";"288";"-";"-"
"1100809";"Candeias do Jamari (RO)";"..";"-";"4650";"12";"25000";"2160";"13500";"-"
"1100908";"Castanheiras (RO)";"..";"-";"3";"7";"6130";"3675";"6300";"-"
"1100924";"Chupinguaia (RO)";"..";"-";"6600";"23";"1500";"60216";"85800";"-"
"1100940";"Cujubim (RO)";"..";"-";"9345";"2";"3900";"2498";"17985";"-"
"1101005";"Governador Jorge Teixeira (RO)";"..";"-";"23";"72";"6700";"1053";"-";"-"
"1101104";"Itapuã do Oeste (RO)";"..";"-";"429";"6";"4520";"2175";"6696";"-"
"1101203";"Ministro Andreazza (RO)";"..";"-";"5";"118";"1890";"1050";"-";"-"
"1101302";"Mirante da Serra (RO)";"..";"-";"36";"560";"17700";"4875";"-";"-"
"1101401";"Monte Negro (RO)";"..";"-";"5";"2";"26200";"45";"-";"-"
"1101435";"Nova União (RO)";"..";"-";"-";"40";"3240";"1470";"-";"-"
"1101450";"Parecis (RO)";"..";"-";"15";"36";"1980";"1350";"3540";"-"
"1101468";"Pimenteiras do Oeste (RO)";"..";"-";"3840";"-";"560";"76807";"79200";"-"
"1101476";"Primavera de Rondônia (RO)";"..";"-";"264";"31";"1440";"264";"-";"-"
"1101484";"São Felipe D'Oeste (RO)";"..";"-";"18";"27";"980";"2580";"1276";"-"
"1101492";"São Francisco do Guaporé (RO)";"..";"-";"3750";"-";"4500";"1000";"2100";"-"
"1101500";"Seringueiras (RO)";"..";"-";"3600";"-";"8400";"2760";"9000";"-"
"1101559";"Teixeirópolis (RO)";"..";"-";"-";"-";"2736";"285";"-";"-"
"1101609";"Theobroma (RO)";"..";"-";"10";"43";"17820";"4834";"1650";"-"
"1101708";"Urupá (RO)";"..";"-";"2";"-";"2880";"529";"-";"-"
"1101757";"Vale do Anari (RO)";"..";"-";"378";"13";"9750";"999";"150";"-"
"1101807";"Vale do Paraíso (RO)";"..";"-";"-";"5";"3200";"180";"-";"-"
"1200013";"Acrelândia (AC)";"..";"-";"115";"208";"16500";"3120";"-";"-"
"1200054";"Assis Brasil (AC)";"..";"-";"268";"196";"10790";"1200";"-";"-"
"1200104";"Brasiléia (AC)";"..";"-";"325";"301";"16880";"4595";"-";"-"
"1200138";"Bujari (AC)";"..";"-";"80";"145";"41741";"4000";"-";"-"
"1200179";"Capixaba (AC)";"..";"-";"179";"95";"33788";"8058";"81";"-"
"1200203";"Cruzeiro do Sul (AC)";"..";"-";"457";"293";"73225";"1715";"-";"-"
"1200252";"Epitaciolândia (AC)";"..";"-";"680";"132";"19204";"4610";"-";"-"
"1200302";"Feijó (AC)";"..";"-";"495";"161";"82500";"6290";"-";"-"
"1200328";"Jordão (AC)";"..";"-";"65";"18";"21120";"935";"-";"-"
"1200336";"Mâncio Lima (AC)";"..";"-";"271";"312";"68200";"880";"-";"-"
"1200344";"Manoel Urbano (AC)";"..";"-";"156";"104";"9860";"1360";"-";"-"
"1200351";"Marechal Thaumaturgo (AC)";"..";"-";"235";"290";"74201";"1020";"-";"-"
"1200385";"Plácido de Castro (AC)";"..";"-";"44";"33";"16400";"2990";"-";"-"
"1200393";"Porto Walter (AC)";"..";"-";"128";"168";"24660";"580";"-";"-"
"1200401";"Rio Branco (AC)";"..";"-";"225";"180";"37500";"8270";"180";"-"
"1200427";"Rodrigues Alves (AC)";"..";"-";"618";"270";"70001";"920";"-";"-"
"1200435";"Santa Rosa do Purus (AC)";"..";"-";"28";"27";"8080";"425";"-";"-"
"1200450";"Senador Guiomard (AC)";"..";"-";"84";"75";"30551";"13500";"-";"-"
"1200500";"Sena Madureira (AC)";"..";"-";"468";"474";"73200";"4840";"-";"-"
"1200609";"Tarauacá (AC)";"..";"-";"732";"143";"82500";"6476";"-";"-"
"1200708";"Xapuri (AC)";"..";"-";"420";"200";"23625";"3200";"-";"-"
"1200807";"Porto Acre (AC)";"..";"-";"186";"82";"39309";"10260";"-";"-"
"1300029";"Alvarães (AM)";"..";"-";"-";"2";"54750";"6";"-";"-"
"1300060";"Amaturá (AM)";"..";"-";"-";"-";"4740";"63";"-";"-"
"1300086";"Anamã (AM)";"..";"-";"-";"-";"700";"50";"-";"-"
"1300102";"Anori (AM)";"..";"-";"-";"22";"825";"90";"-";"-"
"1300144";"Apuí (AM)";"..";"-";"15";"4";"2750";"630";"-";"-"
"1300201";"Atalaia do Norte (AM)";"..";"-";"3";"15";"3230";"60";"-";"-"
"1300300";"Autazes (AM)";"..";"-";"-";"-";"65000";"45";"-";"-"
"1300409";"Barcelos (AM)";"..";"-";"8";"24";"-";"-";"-";"-"
"1300508";"Barreirinha (AM)";"..";"-";"-";"5";"2400";"24";"-";"-"
"1300607";"Benjamin Constant (AM)";"..";"-";"2";"43";"300";"16";"-";"-"
"1300631";"Beruri (AM)";"..";"-";"-";"-";"2260";"-";"-";"-"
"1300680";"Boa Vista do Ramos (AM)";"..";"-";"-";"-";"5520";"4";"-";"-"
"1300706";"Boca do Acre (AM)";"..";"-";"250";"-";"500";"1500";"-";"-"
"1300805";"Borba (AM)";"..";"-";"-";"-";"9864";"30";"-";"-"
"1300839";"Caapiranga (AM)";"..";"-";"-";"-";"440";"-";"-";"-"
"1300904";"Canutama (AM)";"..";"-";"-";"8";"1200";"216";"-";"-"
"1301001";"Carauari (AM)";"..";"-";"-";"3";"8800";"75";"-";"-"
"1301100";"Careiro (AM)";"..";"-";"-";"-";"5000";"43";"-";"-"
"1301159";"Careiro da Várzea (AM)";"..";"-";"-";"-";"400";"-";"-";"-"
"1301209";"Coari (AM)";"..";"-";"-";"15";"8400";"150";"-";"-"
"1301308";"Codajás (AM)";"..";"-";"-";"-";"4900";"-";"-";"-"
"1301407";"Eirunepé (AM)";"..";"-";"24";"86";"15468";"300";"-";"-"
"1301506";"Envira (AM)";"..";"-";"140";"52";"15600";"540";"-";"-"
"1301605";"Fonte Boa (AM)";"..";"-";"-";"-";"1632";"-";"-";"-"
"1301654";"Guajará (AM)";"..";"-";"30";"28";"6240";"42";"-";"-"
"1301704";"Humaitá (AM)";"..";"-";"42";"45";"40000";"60";"-";"-"
"1301803";"Ipixuna (AM)";"..";"-";"64";"6";"1111";"-";"-";"-"
"1301852";"Iranduba (AM)";"..";"-";"-";"-";"3984";"240";"-";"-"
"1301902";"Itacoatiara (AM)";"..";"-";"-";"226";"7300";"380";"-";"-"
"1301951";"Itamarati (AM)";"..";"-";"-";"-";"-";"-";"-";"-"
"1302009";"Itapiranga (AM)";"..";"-";"-";"30";"5400";"90";"-";"-"
"1302108";"Japurá (AM)";"..";"-";"-";"-";"3658";"-";"-";"-"
"1302207";"Juruá (AM)";"..";"-";"-";"-";"1020";"24";"-";"-"
"1302306";"Jutaí (AM)";"..";"-";"130";"13";"11320";"-";"-";"-"
"1302405";"Lábrea (AM)";"..";"-";"-";"512";"6500";"290";"-";"-"
"1302504";"Manacapuru (AM)";"..";"-";"-";"438";"200000";"1770";"-";"-"
"1302553";"Manaquiri (AM)";"..";"-";"-";"-";"9340";"210";"-";"-"
"1302603";"Manaus (AM)";"..";"-";"-";"-";"-";"24";"-";"-"
"1302702";"Manicoré (AM)";"..";"-";"-";"-";"92000";"-";"-";"-"
"1302801";"Maraã (AM)";"..";"-";"-";"-";"41000";"46";"-";"-"
"1302900";"Maués (AM)";"..";"-";"-";"-";"11520";"10";"-";"-"
"1303007";"Nhamundá (AM)";"..";"-";"-";"2";"8400";"36";"-";"-"
"1303106";"Nova Olinda do Norte (AM)";"..";"-";"-";"21";"17900";"-";"-";"-"
"1303205";"Novo Airão (AM)";"..";"-";"-";"-";"4800";"-";"-";"-"
"1303304";"Novo Aripuanã (AM)";"..";"-";"-";"7";"10560";"69";"-";"-"
"1303403";"Parintins (AM)";"..";"-";"-";"-";"10320";"70";"-";"-"
"1303502";"Pauini (AM)";"..";"-";"15";"40";"7920";"75";"-";"-"
"1303536";"Presidente Figueiredo (AM)";"..";"-";"-";"64";"9840";"250";"-";"-"
"1303569";"Rio Preto da Eva (AM)";"..";"-";"-";"-";"1336";"-";"-";"-"
"1303601";"Santa Isabel do Rio Negro (AM)";"..";"-";"-";"-";"720";"-";"-";"-"
"1303700";"Santo Antônio do Içá (AM)";"..";"-";"-";"-";"3080";"-";"-";"-"
"1303809";"São Gabriel da Cachoeira (AM)";"..";"-";"-";"2";"-";"2";"-";"-"
"1303908";"São Paulo de Olivença (AM)";"..";"-";"-";"-";"4680";"-";"-";"-"
"1303957";"São Sebastião do Uatumã (AM)";"..";"-";"-";"76";"8980";"126";"-";"-"
"1304005";"Silves (AM)";"..";"-";"21";"-";"12780";"-";"-";"-"
"1304062";"Tabatinga (AM)";"..";"-";"-";"1";"960";"24";"-";"-"
"1304104";"Tapauá (AM)";"..";"-";"-";"345";"36735";"960";"-";"-"
"1304203";"Tefé (AM)";"..";"-";"-";"80";"98789";"-";"-";"-"
"1304237";"Tonantins (AM)";"..";"-";"-";"6";"308";"24";"-";"-"
"1304260";"Uarini (AM)";"..";"-";"-";"-";"70385";"23";"-";"-"
"1304302";"Urucará (AM)";"..";"-";"-";"-";"5760";"165";"-";"-"
"1304401";"Urucurituba (AM)";"..";"...";"...";"...";"...";"...";"...";"..."
"1400027";"Amajari (RR)";"..";"-";"7875";"19";"1111";"227";"-";"-"
"1400050";"Alto Alegre (RR)";"..";"6300";"1875";"1200";"5239";"8640";"11186";"-"
"1400100";"Boa Vista (RR)";"..";"-";"1500";"83";"1277";"6480";"26838";"-"
"1400159";"Bonfim (RR)";"..";"-";"38400";"100";"6055";"19440";"13749";"-"
"1400175";"Cantá (RR)";"..";"-";"2250";"26";"5258";"869";"2631";"-"
"1400209";"Caracaraí (RR)";"..";"-";"58";"5";"2454";"2337";"-";"-"
"1400233";"Caroebe (RR)";"..";"-";"30";"6";"19760";"41";"-";"-"
"1400282";"Iracema (RR)";"..";"-";"25";"23";"2520";"591";"941";"-"
"1400308";"Mucajaí (RR)";"..";"4200";"33";"151";"3001";"420";"540";"-"
"1400407";"Normandia (RR)";"..";"-";"17910";"34";"1625";"204";"-";"-"
"1400456";"Pacaraima (RR)";"..";"-";"-";"-";"6160";"53";"-";"-"
"1400472";"Rorainópolis (RR)";"..";"-";"124";"24";"5670";"1575";"-";"-"
"1400506";"São João da Baliza (RR)";"..";"-";"18";"18";"230";"56";"-";"-"
"1400605";"São Luiz (RR)";"..";"-";"12";"-";"184";"18";"-";"-"
"1400704";"Uiramutã (RR)";"..";"-";"50";"27";"20206";"423";"-";"-"
"1500107";"Abaetetuba (PA)";"..";"-";"-";"48";"30600";"30";"-";"-"
"1500131";"Abel Figueiredo (PA)";"..";"-";"400";"5";"9000";"1575";"198";"-"
"1500206";"Acará (PA)";"..";"-";"42";"30";"356000";"200";"-";"-"
"1500305";"Afuá (PA)";"..";"-";"-";"-";"1100";"-";"-";"-"
"1500347";"Água Azul do Norte (PA)";"..";"-";"50";"19";"3350";"23532";"1050";"-"
"1500404";"Alenquer (PA)";"..";"-";"660";"516";"170000";"7500";"-";"-"
"1500503";"Almeirim (PA)";"..";"-";"-";"36";"2160";"143";"-";"-"
"1500602";"Altamira (PA)";"..";"-";"4500";"400";"56000";"7500";"6000";"-"
"1500701";"Anajás (PA)";"..";"-";"-";"-";"1746";"-";"-";"-"
"1500800";"Ananindeua (PA)";"..";"-";"-";"-";"75";"-";"-";"-"
"1500859";"Anapu (PA)";"..";"-";"300";"120";"4800";"1400";"-";"-"
"1500909";"Augusto Corrêa (PA)";"..";"-";"16";"1170";"45050";"90";"-";"-"
"1500958";"Aurora do Pará (PA)";"..";"-";"63";"125";"75000";"1170";"-";"-"
"1501006";"Aveiro (PA)";"..";"-";"144";"108";"21600";"1235";"-";"-"
"1501105";"Bagre (PA)";"..";"-";"-";"-";"617";"-";"-";"-"
"1501204";"Baião (PA)";"..";"-";"23";"-";"4290";"120";"-";"-"
"1501253";"Bannach (PA)";"..";"-";"5";"11";"400";"195";"-";"-"
"1501303";"Barcarena (PA)";"..";"-";"6";"30";"20000";"360";"-";"-"
"1501402";"Belém (PA)";"..";"-";"-";"-";"1530";"-";"-";"-"
"1501451";"Belterra (PA)";"..";"-";"5625";"618";"15400";"29200";"41016";"-"
"1501501";"Benevides (PA)";"..";"...";"...";"...";"...";"...";"...";"..."
"1501576";"Bom Jesus do Tocantins (PA)";"..";"-";"660";"99";"4500";"4725";"-";"-"
"1501600";"Bonito (PA)";"..";"-";"-";"100";"12000";"100";"-";"-"
"1501709";"Bragança (PA)";"..";"-";"60";"810";"75150";"810";"-";"-"
"1501725";"Brasil Novo (PA)";"..";"-";"15";"16";"3800";"900";"-";"-"
"1501758";"Brejo Grande do Araguaia (PA)";"..";"-";"-";"11";"724";"910";"-";"-"
"1501782";"Breu Branco (PA)";"..";"-";"1100";"600";"22400";"1500";"-";"-"
"1501808";"Breves (PA)";"..";"-";"-";"-";"3831";"-";"-";"-"
"1501907";"Bujaru (PA)";"..";"-";"25";"110";"17000";"95";"-";"-"
"1501956";"Cachoeira do Piriá (PA)";"..";"-";"150";"180";"22725";"540";"-";"-"
"1502004";"Cachoeira do Arari (PA)";"..";"-";"19300";"-";"900";"-";"-";"-"
"1502103";"Cametá (PA)";"..";"-";"180";"108";"56000";"120";"-";"-"
"1502152";"Canaã dos Carajás (PA)";"..";"-";"53";"19";"4680";"15925";"-";"-"
"1502202";"Capanema (PA)";"..";"-";"6";"3000";"12500";"250";"-";"-"
"1502301";"Capitão Poço (PA)";"..";"-";"25";"1500";"50000";"1000";"-";"-"
"1502400";"Castanhal (PA)";"..";"-";"-";"360";"80000";"225";"-";"-"
"1502509";"Chaves (PA)";"..";"-";"-";"-";"819";"-";"-";"-"
"1502608";"Colares (PA)";"..";"-";"-";"3";"3040";"7";"-";"-"
"1502707";"Conceição do Araguaia (PA)";"..";"-";"240";"20";"6400";"2000";"3330";"-"
"1502756";"Concórdia do Pará (PA)";"..";"-";"25";"20";"34800";"35";"-";"-"
"1502764";"Cumaru do Norte (PA)";"..";"-";"186";"100";"8250";"74200";"35243";"-"
"1502772";"Curionópolis (PA)";"..";"-";"-";"-";"6120";"7800";"-";"-"
"1502806";"Curralinho (PA)";"..";"-";"-";"-";"5200";"4";"-";"-"
"1502855";"Curuá (PA)";"..";"-";"4";"11";"600";"100";"-";"-"
"1502905";"Curuçá (PA)";"..";"-";"-";"64";"16000";"48";"-";"-"
"1502939";"Dom Eliseu (PA)";"..";"-";"19800";"95";"2400";"59400";"277200";"-"
"1502954";"Eldorado do Carajás (PA)";"..";"-";"104";"20";"12000";"3200";"-";"-"
"1503002";"Faro (PA)";"..";"-";"-";"-";"5600";"4";"-";"-"
"1503044";"Floresta do Araguaia (PA)";"..";"-";"5125";"202";"14700";"15476";"7616";"-"
"1503077";"Garrafão do Norte (PA)";"..";"-";"15";"750";"51000";"1000";"-";"-"
"1503093";"Goianésia do Pará (PA)";"..";"-";"1320";"240";"14500";"900";"225";"-"
"1503101";"Gurupá (PA)";"..";"-";"150";"12";"4800";"46";"-";"-"
"1503200";"Igarapé-Açu (PA)";"..";"-";"-";"270";"18000";"220";"-";"-"
"1503309";"Igarapé-Miri (PA)";"..";"-";"14";"11";"16360";"24";"-";"-"
"1503408";"Inhangapi (PA)";"..";"-";"-";"-";"22500";"-";"-";"-"
"1503457";"Ipixuna do Pará (PA)";"..";"-";"120";"750";"67500";"2250";"3024";"-"
"1503507";"Irituia (PA)";"..";"-";"13";"172";"7200";"315";"-";"-"
"1503606";"Itaituba (PA)";"..";"-";"48";"776";"32400";"1470";"-";"-"
"1503705";"Itupiranga (PA)";"..";"-";"80";"56";"48200";"6300";"-";"-"
"1503754";"Jacareacanga (PA)";"..";"-";"1017";"83";"22275";"56";"-";"-"
"1503804";"Jacundá (PA)";"..";"-";"1000";"60";"16320";"2400";"-";"-"
"1503903";"Juruti (PA)";"..";"-";"2";"13";"110000";"12";"-";"-"
"1504000";"Limoeiro do Ajuru (PA)";"..";"-";"15";"2";"720";"12";"-";"-"
"1504059";"Mãe do Rio (PA)";"..";"-";"-";"300";"10504";"1950";"-";"-"
"1504109";"Magalhães Barata (PA)";"..";"-";"9";"13";"12000";"45";"-";"-"
"1504208";"Marabá (PA)";"..";"-";"200";"60";"82200";"22400";"1550";"-"
"1504307";"Maracanã (PA)";"..";"-";"16";"112";"10000";"210";"-";"-"
"1504406";"Marapanim (PA)";"..";"-";"3";"70";"24000";"60";"-";"-"
"1504422";"Marituba (PA)";"..";"...";"...";"...";"...";"...";"...";"..."
"1504455";"Medicilândia (PA)";"..";"-";"38";"66";"6000";"3060";"-";"-"
"1504505";"Melgaço (PA)";"..";"-";"-";"-";"3680";"-";"-";"-"
"1504604";"Mocajuba (PA)";"..";"-";"30";"-";"12600";"30";"-";"-"
"1504703";"Moju (PA)";"..";"-";"160";"49";"128000";"3600";"-";"-"
"1504752";"Mojuí dos Campos (PA)";"..";"-";"1800";"75";"10000";"21925";"70500";"-"
"1504802";"Monte Alegre (PA)";"..";"-";"126";"600";"51000";"29250";"-";"-"
"1504901";"Muaná (PA)";"..";"-";"-";"9";"920";"90";"-";"-"
"1504950";"Nova Esperança do Piriá (PA)";"..";"-";"150";"250";"56000";"650";"-";"-"
"1504976";"Nova Ipixuna (PA)";"..";"-";"30";"24";"3550";"1140";"-";"-"
"1505007";"Nova Timboteua (PA)";"..";"-";"-";"100";"20000";"200";"-";"-"
"1505031";"Novo Progresso (PA)";"..";"-";"51200";"90";"13000";"10800";"56100";"-"
"1505064";"Novo Repartimento (PA)";"..";"-";"1262";"240";"20100";"9360";"-";"-"
"1505106";"Óbidos (PA)";"..";"-";"32";"36";"144000";"1350";"-";"-"
"1505205";"Oeiras do Pará (PA)";"..";"-";"250";"-";"46232";"96";"-";"-"
"1505304";"Oriximiná (PA)";"..";"-";"11";"55";"192000";"115";"-";"-"
"1505403";"Ourém (PA)";"..";"-";"8";"70";"12500";"150";"-";"-"
"1505437";"Ourilândia do Norte (PA)";"..";"-";"22";"22";"4500";"480";"-";"-"
"1505486";"Pacajá (PA)";"..";"-";"450";"480";"44000";"6000";"-";"-"
"1505494";"Palestina do Pará (PA)";"..";"-";"-";"35";"1560";"581";"-";"-"
"1505502";"Paragominas (PA)";"..";"-";"9570";"165";"99000";"47355";"439326";"-"
"1505536";"Parauapebas (PA)";"..";"-";"-";"540";"45800";"9150";"1620";"-"
"1505551";"Pau D'Arco (PA)";"..";"-";"19";"7";"2500";"300";"1500";"-"
"1505601";"Peixe-Boi (PA)";"..";"-";"-";"230";"3500";"300";"-";"-"
"1505635";"Piçarra (PA)";"..";"-";"38";"16";"18000";"18000";"-";"-"
"1505650";"Placas (PA)";"..";"-";"440";"214";"18000";"2200";"1755";"-"
"1505700";"Ponta de Pedras (PA)";"..";"-";"-";"18";"300";"20";"-";"-"
"1505809";"Portel (PA)";"..";"-";"-";"-";"133750";"106";"-";"-"
"1505908";"Porto de Moz (PA)";"..";"-";"163";"24";"7500";"224";"-";"-"
"1506005";"Prainha (PA)";"..";"-";"498";"-";"27000";"2850";"-";"-"
"1506104";"Primavera (PA)";"..";"-";"3";"100";"4000";"120";"-";"-"
"1506112";"Quatipuru (PA)";"..";"-";"-";"32";"1000";"38";"-";"-"
"1506138";"Redenção (PA)";"..";"-";"1890";"105";"45000";"14400";"15015";"-"
"1506161";"Rio Maria (PA)";"..";"-";"102";"30";"649";"2280";"1800";"-"
"1506187";"Rondon do Pará (PA)";"..";"-";"325";"16";"10800";"4950";"172800";"-"
"1506195";"Rurópolis (PA)";"..";"-";"2552";"360";"12750";"4107";"506";"-"
"1506203";"Salinópolis (PA)";"..";"-";"12";"22";"1700";"80";"-";"-"
"1506302";"Salvaterra (PA)";"..";"-";"3308";"-";"500";"-";"-";"-"
"1506351";"Santa Bárbara do Pará (PA)";"..";"-";"25";"48";"3000";"35";"-";"-"
"1506500";"Santa Izabel do Pará (PA)";"..";"...";"...";"...";"...";"...";"...";"..."
"1506559";"Santa Luzia do Pará (PA)";"..";"-";"30";"200";"15000";"300";"-";"-"
"1506583";"Santa Maria das Barreiras (PA)";"..";"-";"5400";"450";"12034";"59136";"68028";"-"
"1506609";"Santa Maria do Pará (PA)";"..";"-";"-";"13";"140000";"455";"-";"-"
"1506708";"Santana do Araguaia (PA)";"..";"-";"8244";"1150";"24000";"123668";"187645";"-"
"1506807";"Santarém (PA)";"..";"-";"2970";"105";"217700";"61500";"54000";"-"
"1506906";"Santarém Novo (PA)";"..";"-";"8";"150";"3200";"100";"-";"-"
"1507003";"Santo Antônio do Tauá (PA)";"..";"-";"-";"40";"4500";"42";"-";"-"
"1507102";"São Caetano de Odivelas (PA)";"..";"-";"30";"9";"8400";"18";"-";"-"
"1507151";"São Domingos do Araguaia (PA)";"..";"-";"-";"176";"32200";"2880";"-";"-"
"1507201";"São Domingos do Capim (PA)";"..";"-";"-";"180";"108000";"240";"-";"-"
"1507300";"São Félix do Xingu (PA)";"..";"-";"192";"110";"38200";"16761";"-";"-"
"1507409";"São Francisco do Pará (PA)";"..";"-";"-";"210";"60000";"180";"-";"-"
"1507458";"São Geraldo do Araguaia (PA)";"..";"-";"-";"42";"10300";"7840";"-";"-"
"1507466";"São João da Ponta (PA)";"..";"-";"3";"12";"4000";"9";"-";"-"
"1507474";"São João de Pirabas (PA)";"..";"-";"8";"36";"3675";"25";"-";"-"
"1507508";"São João do Araguaia (PA)";"..";"-";"-";"40";"6900";"560";"1120";"-"
"1507607";"São Miguel do Guamá (PA)";"..";"-";"-";"700";"75000";"360";"-";"-"
"1507706";"São Sebastião da Boa Vista (PA)";"..";"-";"-";"-";"870";"-";"-";"-"
"1507755";"Sapucaia (PA)";"..";"-";"-";"-";"280";"3089";"-";"-"
"1507805";"Senador José Porfírio (PA)";"..";"-";"75";"216";"7000";"3000";"-";"-"
"1507904";"Soure (PA)";"..";"...";"...";"...";"...";"...";"...";"..."
"1507953";"Tailândia (PA)";"..";"-";"1600";"137";"16080";"29646";"7500";"-"
"1507961";"Terra Alta (PA)";"..";"-";"-";"17";"12800";"48";"-";"-"
"1507979";"Terra Santa (PA)";"..";"-";"-";"-";"656";"7";"-";"-"
"1508001";"Tomé-Açu (PA)";"..";"-";"80";"130";"32000";"1500";"-";"-"
"1508035";"Tracuateua (PA)";"..";"-";"210";"2700";"45120";"45";"648";"-"
"1508050";"Trairão (PA)";"..";"-";"3000";"811";"65000";"5500";"-";"-"
"1508084";"Tucumã (PA)";"..";"-";"15";"7";"1980";"5760";"-";"-"
"1508100";"Tucuruí (PA)";"..";"-";"6000";"300";"34400";"1500";"-";"-"
"1508126";"Ulianópolis (PA)";"..";"-";"21252";"-";"4800";"34133";"174600";"-"
"1508159";"Uruará (PA)";"..";"-";"644";"154";"16500";"5400";"1200";"-"
"1508209";"Vigia (PA)";"..";"-";"-";"-";"6000";"-";"-";"-"
"1508308";"Viseu (PA)";"..";"-";"312";"1170";"139455";"810";"-";"-"
"1508357";"Vitória do Xingu (PA)";"..";"-";"60";"49";"8400";"900";"-";"-"
"1508407";"Xinguara (PA)";"..";"-";"-";"4";"4620";"7967";"-";"-"
"1600055";"Serra do Navio (AP)";"..";"-";"78";"76";"6981";"115";"-";"-"
"1600105";"Amapá (AP)";"..";"-";"14";"25";"3452";"42";"-";"-"
"1600154";"Pedra Branca do Amapari (AP)";"..";"-";"82";"108";"14532";"108";"-";"-"
"1600204";"Calçoene (AP)";"..";"-";"70";"66";"9890";"105";"-";"-"
"1600212";"Cutias (AP)";"..";"-";"16";"46";"2600";"38";"-";"-"
"1600238";"Ferreira Gomes (AP)";"..";"-";"24";"54";"4975";"54";"-";"-"
"1600253";"Itaubal (AP)";"..";"-";"499";"48";"3104";"92";"13136";"-"
"1600279";"Laranjal do Jari (AP)";"..";"-";"68";"88";"11463";"145";"-";"-"
"1600303";"Macapá (AP)";"..";"-";"70";"122";"13870";"165";"37971";"-"
"1600402";"Mazagão (AP)";"..";"-";"56";"104";"12126";"78";"-";"-"
"1600501";"Oiapoque (AP)";"..";"-";"18";"26";"31520";"24";"-";"-"
"1600535";"Porto Grande (AP)";"..";"-";"76";"137";"13450";"102";"-";"-"
"1600550";"Pracuúba (AP)";"..";"-";"35";"34";"6135";"46";"-";"-"
"1600600";"Santana (AP)";"..";"-";"24";"46";"7842";"58";"-";"-"
"1600709";"Tartarugalzinho (AP)";"..";"-";"190";"189";"15530";"340";"3293";"-"
"1600808";"Vitória do Jari (AP)";"..";"-";"50";"105";"9110";"52";"-";"-"
"1700251";"Abreulândia (TO)";"..";"-";"342";"5";"1040";"13410";"19532";"-"
"1700301";"Aguiarnópolis (TO)";"..";"-";"35";"8";"672";"94";"-";"-"
"1700350";"Aliança do Tocantins (TO)";"..";"-";"250";"-";"1082";"2300";"18500";"-"
